,all,Standing,Walking,Upstairs,Sitting,Jogging,Downstairs
lr_all,0.956332795963,0.995373939861,0.976519240205,0.97287446555,0.995654307142,0.993972103456,0.978271535712
lr_ar_20,0.908373168851,0.983161141095,0.960246723207,0.950254433308,0.9800154202,0.987417116423,0.95565150347
lr_expert,0.854433307633,0.991148804934,0.907447956823,0.908866615266,0.990069390902,0.983962991519,0.927370855821
lr_spl_11,0.581310717039,0.947293754819,0.612891287587,0.892151117965,0.990778720123,0.801141094834,0.918365458751
lr_ssa_20,0.84200462606,0.996268311488,0.861279876638,0.90701619121,0.995929067078,0.987694680031,0.935821125675
rf_all,0.934217424827,0.996576715497,0.965767154973,0.953862760216,0.996206630686,0.990686198921,0.96533538936
rf_ar_20,0.928696993061,0.988064764842,0.968696993061,0.956206630686,0.988157286045,0.989915188897,0.966353122591
rf_expert,0.932952968389,0.998087895143,0.958303777949,0.95932151118,0.99734772552,0.987848882035,0.96499614495
rf_spl_11,0.794880493446,0.986615265998,0.857023901311,0.902976098689,0.997872012336,0.921079414032,0.924194294526
rf_ssa_20,0.924841942945,0.996638396299,0.947879722436,0.959753276793,0.99632999229,0.986306861989,0.962775636083
svm_all,0.98268732039,0.99502348076,0.99264035887,0.993060909792,0.994743113479,0.996986051728,0.992920726151
svm_ar_20,0.950593677718,0.983315343099,0.981310717039,0.979367771781,0.983932151118,0.993924441018,0.97933693138
svm_expert,0.927895142637,0.991117964534,0.963114880493,0.957532767926,0.991025443331,0.989822667695,0.963176561295
svm_spl_11,0.768882035466,0.962744795682,0.844070932922,0.893693138011,0.995312259059,0.925489591365,0.916453353894
svm_ssa_20,0.9533384734,0.99799537394,0.976407093292,0.973384734002,0.99734772552,0.988496530455,0.973045489591
